serial_no , match_event_id , location_x , location_y , remaining_sec , distance_of_shot , remaining_min , power_of_shot , knockout_match , remaining_sec , distance_of_shot , team_id , match_id , type_of_combined_shot , type_of_shot , home/away , date of game , range_of_shot , area_of_shot , shot_basics , remaining_min , power_of_shot , knockout_match , game_season , shot_id_number , is_goal 
62,260,0,91.1269335,32,20,9,3,87.608,32,20,1610612747,20000049,4,39,3,312,1,0,3,0,3,0,4,63,0
63,353,7.383876043,21,37,25,0,3,0,37,25,1610612747,20000049,4,39,3,312,1,0,4,0,3,0,4,64,0
64,369,121,26,1,32,0,3,0,1,32,1610612747,20000049,3,44,3,1557,2,4,2,0,3,0,4,65,1
67,28,231,57,17,43,8,1,103.8,17,43,1610612747,20000058,3,21,4,313,4,4,7,8,1,0,4,68,0
68,33,0,0,53,20,7,1,0,46.2,20,1610612747,20000058,3,4,4,313,1,0,3,7,1,0,4,69,1
69,41,7.383876043,0,1,20,7,1,0,1,20,1610612747,20000058,1,39,4,313,1,0,3,7,1,0,4,70,1
72,131,0,91.1269335,56,20,7,2,0,39.02730256,20,1610612747,20000058,4,39,4,313,1,0,3,7,2,0,4,73,1
73,186,51,57,40,27,2,2,0,39.02730256,27,1610612747,20000058,3,0,4,313,1,0,2,2,2,0,4,74,0
74,201,167,190,28.32938185,45,0,2,0,10,45,1610612747,20000058,3,1,4,1557,4,3,1,0,2,0,4,75,0
76,225,16,57,10,33.44888431,9,3,0,39.02730256,25,1610612747,20000058,3,1,4,313,1,0,4,9,3,0,4,77,0
77,236,-84,110,24,33,7,3,0,24,33,1610612747,20000058,3,36,4,313,2,2,2,7,3,0,4,78,0
78,306,-71,42,1,28,66.64,81.36,133.608,1,28,1610612747,20000058,3,2,4,313,2,2,4,0,3,0,4,79,0
80,368,30,133,1,33,5,72.36,0,1,33,1610612747,20000058,3,20,4,313,2,0,4,5,4,0,4,81,1
81,425,1,156,46,35,0,29.36,65.8,46,47.4,1610612747,20000058,3,39,4,313,2,0,2,0,4,0,4,82,0
82,2,132,211,41,44,11,1,0,41,44,1610612747,20000068,3,15,5,1557,4,3,1,11,1,0,4,83,0
83,11,-8,4,59,20,10,1,0,59,20,1610612747,20000068,3,12,5,314,1,0,3,0,1,0,4,84,0
87,44,-29,188,54,39,5,1,0,54,39,1610612747,20000068,3,10,5,314,3,0,2,0,1,0,4,88,1
88,70,140,76,24,35,2,1,0,71.2,35,1610612747,20000068,3,39,5,314,2,4,2,2,1,0,4,89,1
89,74,140,0,48,34,1,98.36,0,48,34,1610612747,20000068,3,15,5,314,2,4,2,1,1,0,4,90,1
90,249.576028,-1,156,25,35,1,1,72.928,48.2,35,1610612747,20000068,3,39,5,314,2,0,2,1,1,0,4,91,1
92,101,110,76,57,33,10,2,0,43.2,33,1610612747,20000068,3,39,5,1557,2,4,2,0,2,0,4,93,0
93,115,132,87,37,35,9,2,66.608,37,35,1610612747,20000068,3,49,5,314,2,4,2,9,2,0,4,94,0
95,184,-58,251,50,45,3,66.36,82.8,50,55.4,1610612747,20000068,3,39,5,314,4,0,1,3,2,0,4,96,1
97,215,-193,150,28.32938185,44,116.64,2,0,61.2,44,1610612747,20000068,3,51,5,314,4,1,1,0,2,0,4,98,0
98,217,140,0,48,34,0,84.36,0,48,38.8018519,1610612747,20000068,3,39,5,314,2,4,2,0,3,0,4,99,1
99,228,7.383876043,9,28.32938185,24,90.2,3,0,26,24,1610612747,20000068,3,39,38,314,1,0,4,11,3,0,4,100,0
100,241,24,150,20,35,9,3,0,125.7856,35,1610612747,20000068,3,0,5,314,2,0,2,9,3,0,4,101,0
101,253,-1,0,53,20,7,78.36,16.59940165,53,20,1610612747,20000068,1,39,5,314,1,0,3,7,3,0,4,102,1
102,262,119,133,40,37,6,3,0,40,37,1610612747,20000068,3,54,5,314,3,3,2,6,3,0,4,103,1
104,300,119,19,0,32,3,3,0,0,32,1610612747,20000068,3,15,5,314,1,4,2,3,3,0,4,105,0
105,314,-193,42,48,39,0,3,94.928,48,39,1610612747,20000068,3,39,5,314,3,2,2,0,3,0,4,106,0
106,322,-166,55,21,37,0,3,16.59940165,21,104.728,1610612747,20000068,3,39,5,314,3,2,2,0,3,0,4,107,0
107,339,24,116,39,31,10,4,0,39,31,1610612747,20000068,3,39,5,314,2,0,4,10,4,0,4,108,0
108,365,-65,156,8,36,45.64,29.36,0,39.02730256,36,1610612747,20000068,3,39,5,314,3,1,2,7,4,0,4,109,0
109,370,-166,26,25,36,6,4,0,25,36,1610612747,20000068,3,39,5,314,3,2,2,6,4,0,4,110,1
110,379,-58,76,14,29,5,4,0,14,29,1610612747,20000068,3,39,5,314,2,2,4,5,4,0,4,111,0
111,395,-37,70,38,27,3,4,0,38,27,1610612747,20000068,3,39,5,314,1,0,4,3,4,0,4,112,0
113,4,-94,188,9,41,11,1,0,9,41,1610612747,20000098,3,17,6,315,3,1,2,11,1,0,9,114,0
114,11,0,0,17,20,10,1,0,17,20,1610612747,20000098,3,4,6,1557,1,0,3,10,1,0,4,115,0
115,19,0,0,23,20,9,1,0,23,20,1610612747,20000098,3,46,38,315,1,0,3,0,1,0,4,116,0
116,20,0,91.1269335,21,20,9,85.6,72.8,21,20,1610612747,20000098,5,39,38,1557,1,0,3,9,1,0,4,117,0
117,111,0,0,2,20,3,89.36,0,2,38.8018519,1610612747,20000098,1,39,6,315,1,0,3,3,1,0,9,118,1
118,130,7.383876043,0,44,20,102.64,1,16.59940165,39.02730256,20,1610612747,20000098,4,39,6,315,1,0,3,0,1,0,4,119,1
119,135,85,141,21,36,0,67.6,0,21,36,1610612747,20000098,3,39,38,315,3,3,2,0,1,0,4,120,0
120,170,7.383876043,158,50,38,8,2,123.608,50,12.4,1610612747,20000098,3,36,6,315,3,1,2,8,2,0,4,121,1
123,236,7.383876043,91.1269335,28.32938185,20,0,56.36,0,30,102.4,1610612747,20000098,3,54,6,315,1,0,3,0,2,0,9,124,1
124,240,1,276,4,47,0,2,57.928,4,47,1610612747,20000098,3,39,6,315,1,0,1,0,2,0,4,125,1
126,274,155,-8,38,35,8,3,0,38,35,1610612747,20000098,3,39,6,315,2,4,2,8,3,0,4,127,1
127,307,-155,13,18,35,5,3,0,18,38.8018519,1610612747,20000098,3,39,6,315,2,2,2,5,3,0,4,128,1
128,309,-84,133,34,35,4,3,0,34,35,1610612747,20000098,3,42,6,315,2,2,2,4,3,0,4,129,0
129,317,-178,-8,51,37,54.64,3,0,51,37,1610612747,20000098,3,12,38,315,3,2,2,3,3,0,4,130,0
130,320,16,89,40,29,3,3,16.59940165,40,29,1610612747,20000098,3,21,6,315,2,0,4,3,3,0,4,131,0
131,322,-48,106,33,31,3,32.6,0,39.02730256,31,1610612747,20000098,3,39,6,315,2,0,4,3,3,0,4,132,1
134,362,-119,133,14,37,76.7616,3,16.59940165,14,37,1610612747,20000098,3,39,6,315,3,1,2,0,3,0,9,135,0
135,381,9,40,52,24,10,15.99410934,0,120.7216,24,1610612747,20000098,3,39,6,315,1,0,4,10,4,0,4,136,0
136,426,-84,82,34,31,6,4,0,34,102.4,1610612747,20000098,3,39,6,315,2,2,2,6,4,0,9,137,0
137,444,9,59,57,25,4,62.36,0,57,40.4,1610612747,20000098,3,17,6,315,1,0,4,4,4,0,4,138,0
138,249.576028,0,0,28,20,18.20461483,4,0,28,37.4,1610612747,20000098,1,39,6,315,1,0,3,3,4,0,4,139,1
139,488,9,59,38,25,1,4,0,38,25,1610612747,20000098,3,44,6,315,1,0,4,1,4,0,9,140,1
141,493,0,0,3,20,1,4,16.59940165,3,20,1610612747,20000098,5,39,6,315,1,0,3,1,4,0,9,142,0
142,34,0,0,43,20,7,1,0,43,38.8018519,1610612747,20000108,3,4,7,316,1,0,3,7,1,0,4,143,0
144,77,0,0,8,20,3,1,0,8,20,1610612747,20000108,1,39,38,316,1,0,3,3,1,0,4,145,1
145,86,129,-4,25,32,2,1,0,25,32,1610612747,20000108,3,39,7,316,2,4,2,2,1,0,4,146,1
146,93,-98,97,48,33,0,1,0,48,33,1610612747,20000108,3,0,7,316,2,2,2,0,1,0,4,147,1
147,108,167,78,16,38,11,57.36,101.8,16,38.8018519,1610612747,20000108,3,11,7,316,3,4,2,11,2,0,4,148,0
148,118,108,249,19,47,10,2,0,19,47,1610612747,20000108,3,39,7,316,4,3,1,10,2,0,4,149,0
150,129,100,175,7,40,9,86.36,0,7,40,1610612747,20000108,3,39,7,316,3,3,2,9,2,0,4,151,1
153,199,0,0,54,20,1,2,16.59940165,54,20,1610612747,20000108,3,39,7,316,1,0,3,1,2,0,9,154,0
154,219,0,0,28,20,36.64,2,0,28,20,1610612747,20000108,3,4,7,316,1,0,3,0,2,0,4,155,0
156,243,115,169,23,40,10,3,0,23,40,1610612747,20000108,3,39,7,316,3,3,2,10,3,0,4,157,0
157,303,1,72,23,27,5,3,0,23,27,1610612747,20000108,3,39,7,316,1,0,4,5,3,0,4,158,0
159,352,0,0,37,20,109.2,3,99.608,37,20,1610612747,20000108,3,32,7,316,1,0,3,0,3,0,4,160,1
160,360,113,230,43,45,112.64,4,0,43,45,1610612747,20000108,3,39,7,316,4,3,1,0,3,0,4,161,1
161,368,0,0,28,20,10,4,0,28,20,1610612747,20000108,4,39,7,316,1,0,3,10,4,0,4,162,1
162,371,0,0,11,20,10,4,0,11,20,1610612747,20000108,3,12,7,316,1,0,3,10,4,0,4,163,1
163,416,0,0,37,20,5,77.36,0,96.2,20,1610612747,20000108,3,39,7,316,1,0,3,5,4,0,4,164,0
165,2,98,194,42,41,11,1,0,88.2,41,1610612747,20000124,3,54,8,317,3,3,2,11,1,0,4,166,1
166,5,-117,184,7,41,112.64,37.36,0,7,41,1610612747,20000124,3,39,8,317,3,1,2,0,1,0,4,167,0
167,24,7.383876043,-2,53,36,8,95.36,0,53,36,1610612747,20000124,3,39,8,317,3,2,2,8,1,0,4,168,0
168,31,70,36,16,27,8,56.36,0,115.7856,27,1610612747,20000124,3,39,8,317,1,0,4,8,1,0,4,169,0
169,34,0,0,43,33.44888431,7,19.36,0,43,20,1610612747,20000124,4,39,8,317,1,0,3,7,1,0,4,170,0
170,70,-37,42,47,25,2,100.36,0,47,25,1610612747,20000124,3,12,8,317,1,0,4,2,1,0,4,171,1
172,79,163,116,28.32938185,40,1,1,0,5,40,1610612747,20000124,3,2,8,317,3,4,2,1,1,0,9,173,0
173,139,113,179,13,41,18.20461483,2,0,39.02730256,41,1610612747,20000124,3,11,8,1557,3,3,2,8,2,0,4,174,1
174,150,169,-2,27,36,102.64,2,0,27,38.8018519,1610612747,20000124,3,39,8,317,3,4,2,6,2,0,4,175,1
175,200,91,156,52,38,75.64,2,0,52,54.4,1610612747,20000124,3,39,8,317,3,0,2,0,2,0,4,176,0
176,209,134,93,19,36,0,2,55.928,19,36,1610612747,20000124,3,39,38,317,3,4,2,0,2,0,9,177,0
177,212,47,477,0,67,18.20461483,2,95.608,0,67,1610612747,20000124,3,39,8,317,0,0,0,0,2,0,9,178,0
178,240,11,137,52,33,8,3,0,88.2,33,1610612747,20000124,3,39,8,317,1,0,4,8,3,0,4,179,0
179,304,199,13,55,39,25.64,101.36,0,55,39,1610612747,20000124,3,36,8,317,3,4,2,2,3,0,4,180,0
180,323,7.383876043,236,1,44,0,3,122.928,1,44,1610612747,20000124,3,39,8,317,4,3,1,0,3,0,4,181,0
182,341,11,247,18,44,9,83.36,0,55.2,10.4,1610612747,20000124,3,39,8,317,4,0,1,0,4,0,4,183,0
183,249.576028,-103,230,43,45,5,98.36,0,43,74.4,1610612747,20000124,3,39,8,317,1,1,1,5,4,0,4,184,0
184,437,-31,247,2,44,0,87.36,16.59940165,2,36.4,1610612747,20000124,3,24,8,317,4,0,1,0,4,0,4,185,1
185,478,-10,99,5,29,2,5,0,5,29,1610612747,20000124,3,46,8,317,2,0,4,2,5,0,4,186,1
186,480,13,100,28.32938185,30,2,5,0,7,30,1610612747,20000124,3,4,8,317,2,0,4,2,5,0,4,187,0
187,498,-73,200,24,41,97.64,5,0,24,41,1610612747,20000124,3,11,8,1557,3,1,2,0,5,0,4,188,1
188,18,7.383876043,184,5,39,10,1,0,5,21.4,1610612747,20000140,3,49,9,318,3,1,2,10,1,0,4,189,1
189,25,188,177,7,45,9,56.36,16.59940165,60.2,45,1610612747,20000140,3,39,9,318,4,3,2,9,1,0,4,190,0
190,31,0,0,15,20,8,1,0,15,20,1610612747,20000140,3,4,9,318,1,0,3,8,1,0,9,191,0
193,249.576028,-128,137,22,38,4,1,16.59940165,22,38.8018519,1610612747,20000140,3,3,9,318,3,1,2,4,1,0,4,194,0
194,73,0,0,9,20,4,1,0,39.2,46.4,1610612747,20000140,3,1,9,318,1,0,3,4,1,0,4,195,1
196,112,1,93,19,29,11,2,57.608,19,81.4,1610612747,20000140,3,39,9,318,2,0,4,11,2,0,4,197,0
197,158,115,160,51,39,6,71.36,0,51,39,1610612747,20000140,3,39,9,318,3,3,2,6,2,0,4,198,1
198,162,159,200,11,45,6,2,0,49.2,45,1610612747,20000140,3,53,9,318,4,3,1,6,2,0,4,199,1
199,238,167,0,28.32938185,36,43.64,2,0,21,36,1610612747,20000140,3,39,9,318,3,4,2,0,2,0,4,200,0
200,246,-162,245,17,49,11,3,0,39.02730256,49,1610612747,20000140,3,39,9,318,4,1,1,11,3,0,4,201,0
202,269,167,-6,35,36,8,3,0,111.7856,36,1610612747,20000140,3,39,9,1557,3,4,2,8,3,0,9,203,0
203,285,-4,150,24,35,6,50.36,0,112.2,35,1610612747,20000140,3,39,38,318,2,0,2,6,3,0,4,204,1
205,311,237,19,21,33.44888431,3,3,0,21,43,1610612747,20000140,3,5,9,318,1,4,7,3,3,0,4,206,1
206,333,-229,19,47,33.44888431,0,3,62.608,47,38.8018519,1610612747,20000140,3,36,9,1557,4,2,6,0,3,0,4,207,1
207,350,0,0,10,20,11,4,0,10,38.8018519,1610612747,20000140,3,4,9,318,1,0,3,11,4,0,4,208,0
208,398,0,0,10,20,7,4,41.928,22.2,20,1610612747,20000140,3,24,38,318,1,0,3,7,4,0,4,209,1
211,448,37,82,18,28,1,4,0,18,28,1610612747,20000140,3,39,9,318,2,0,4,1,4,0,4,212,1
212,450,-42,87,46,29,83.2,106.36,0,39.02730256,19.4,1610612747,20000140,3,39,9,318,2,0,4,0,4,0,4,213,0
213,17,28,247,3,44,9,1,70.608,3,44,1610612747,20000147,3,39,10,319,4,0,1,9,1,0,4,214,0
214,48,7,91.1269335,10,29,6,1,0,10,56.728,1610612747,20000147,3,41,10,319,2,0,4,6,1,0,9,215,0
215,83,0,0,10,20,46.64,1,0,10,52.4,1610612747,20000147,3,12,10,319,1,0,3,3,1,0,9,216,1
216,114,0,0,13,20,64.64,1,16.59940165,39.02730256,20,1610612747,20000147,3,39,10,319,1,0,3,0,1,0,4,217,0
217,153,0,0,28.32938185,20,60.2,2,62.8,24,20,1610612747,20000147,3,12,10,319,1,0,3,7,2,0,4,218,1
218,166,115,135,3,37,18.20461483,2,0,3,37,1610612747,20000147,3,54,10,319,3,3,2,6,2,0,4,219,0
219,213,142,184,44,43,112.64,2,0,44,43,1610612747,20000147,3,39,10,319,3,3,2,0,3,0,4,220,0
220,224,0,0,24,20,11,3,0,24,20,1610612747,20000147,1,39,10,319,1,0,3,11,3,0,4,221,1
221,229,0,0,19,20,18.20461483,3,0,103.7856,20,1610612747,20000147,3,39,38,319,1,0,3,10,3,0,4,222,1
222,231,79,163,45,38,9,3,0,102.7856,38,1610612747,20000147,3,39,10,319,3,3,2,9,3,0,9,223,0
223,251,142,141,22,40,7,3,0,22,40,1610612747,20000147,3,45,10,319,3,3,2,7,3,0,4,224,1
224,257,30,125,43,32,6,3,78.8,43,32,1610612747,20000147,3,40,10,319,2,0,4,0,3,0,4,225,0
225,276,-60,97,55,31,44.7616,34.36,99.928,55,31,1610612747,20000147,3,44,10,319,2,2,4,4,3,0,4,226,1
226,302,0,0,34,20,1,37.36,0,39.02730256,20,1610612747,20000147,4,39,10,319,1,0,3,1,3,0,9,227,0
228,330,115,245,13,47,11,4,16.59940165,13,47,1610612747,20000147,3,39,10,319,4,3,1,11,4,0,9,229,0
229,334,-132,184,52,33.44888431,10,67.36,0,52,48.728,1610612747,20000147,3,37,10,1557,3,1,2,10,4,0,4,230,0
230,342,0,0,12,20,10,4,0,12,20,1610612747,20000147,4,39,10,319,1,0,3,10,4,0,4,231,0
231,344,0,0,8,20,10,100.36,29.8,8,20,1610612747,20000147,4,39,10,319,1,0,3,10,4,0,4,232,0
232,437,-25,76,28.32938185,28,18.20461483,4,0,20,28,1610612747,20000147,3,39,10,1557,2,0,4,2,4,0,4,233,1
233,440,-145,108,37,38,1,4,0,37,90.4,1610612747,20000147,3,11,10,319,3,1,2,1,4,0,9,234,0
234,454,-208,-29,31,41,0,70.36,0,31,41,1610612747,20000147,3,45,10,319,3,2,2,0,4,0,4,235,0
235,10,-105,148,5,38,10,1,0,5,38,1610612747,20000168,3,19,11,320,3,1,2,10,1,0,4,236,1
236,26,-48,175,0,38,18.20461483,1,0,0,38,1610612747,20000168,3,39,11,320,3,0,2,8,1,0,9,237,0
237,51,7.383876043,247,58,45,4,1,0,58,45,1610612747,20000168,3,39,11,1557,4,0,1,4,1,0,9,238,0
238,74,7.383876043,0,36,20,2,60.36,0,36,20,1610612747,20000168,3,4,11,320,1,0,3,2,1,0,4,239,1
239,81,0,0,20,20,2,92.36,0,87.7856,20,1610612747,20000168,4,39,11,320,1,0,3,2,1,0,4,240,0
240,84,0,0,8,20,2,1,121.608,8,20,1610612747,20000168,3,12,11,320,1,0,3,2,1,0,4,241,1
241,87,142,226,43,46,1,1,0,67.2,44.4,1610612747,20000168,3,5,11,1557,4,3,1,1,1,0,4,242,1
242,121,0,0,17,20,10,109.36,0,17,61.4,1610612747,20000168,1,39,11,320,1,0,3,10,2,0,4,243,1
243,134,-63,171,16,38,38.64,2,0,63.7856,38,1610612747,20000168,3,39,11,320,3,1,2,9,2,0,4,244,1
244,192,0,0,34,20,3,2,0,124.7856,88.4,1610612747,20000168,1,39,11,320,1,0,3,3,2,0,4,245,1
245,202,64,91.1269335,30,38,2,2,0,22.2,38,1610612747,20000168,3,6,11,320,3,3,2,2,2,0,4,246,1
246,241,0,0,52,20,9,56.36,16.59940165,52,20,1610612747,20000168,1,39,11,320,1,0,3,9,3,0,4,247,1
247,246,0,0,12,33.44888431,9,3,0,28.2,88.4,1610612747,20000168,3,4,11,320,1,0,3,9,3,0,4,248,1
248,271,115,236,31,46,18.20461483,3,0,31,46,1610612747,20000168,3,52,11,1557,4,3,1,6,3,0,4,249,1
250,249.576028,163,7,20,36,18.20461483,3,0,20,36,1610612747,20000168,3,39,11,320,3,4,2,5,3,0,4,251,0
251,331,0,0,6,20,2,118.36,16.59940165,6,20,1610612747,20000168,3,39,38,320,1,0,3,2,3,0,4,252,0
252,333,0,0,0,20,2,3,0,116.2,20,1610612747,20000168,4,39,11,320,1,0,3,2,3,0,4,253,1
253,342,0,91.1269335,26,33.44888431,1,3,0,26,20,1610612747,20000168,3,39,11,320,1,0,3,1,3,0,4,254,1
254,8,64,40,33,27,10,1,0,33,27,1610612747,20000180,3,16,12,321,1,0,2,10,1,0,4,255,0
255,45,-105,-2,33,30,7,1,87.608,33,30,1610612747,20000180,3,44,12,321,2,0,2,7,1,0,4,256,1
257,60,0,0,52,20,5,1,76.35232,52,65.4,1610612747,20000180,4,39,12,321,1,0,3,5,1,0,4,258,1
258,249.576028,64,95,56,31,3,80.36,0,81.2,38.8018519,1610612747,20000180,3,30,12,321,2,4,4,3,1,0,4,259,1
260,107,-132,2,4,33,1,1,0,42.2,88.728,1610612747,20000180,3,7,12,321,2,2,2,1,1,0,9,261,1
262,252,0,0,45,20,41.2,3,0,45,20,1610612747,20000180,3,56,12,321,1,0,3,9,3,0,9,263,1
264,276,-132,154,24,40,6,3,0,81.7856,40,1610612747,20000180,3,39,12,321,3,1,2,6,3,0,4,265,0
265,279,0,0,58,20,51.64,3,0,58,20,1610612747,20000180,3,39,12,1557,1,0,3,5,3,0,4,266,1
267,315,235,23,42,43,2,3,0,77.2,69.4,1610612747,20000180,3,19,12,321,4,4,7,2,3,0,4,268,0
268,249.576028,28,175,21,37,0,3,0,21,98.4,1610612747,20000180,3,39,12,321,3,0,2,0,3,0,4,269,1
269,356,184,171,38,45,11,4,0,38,21.4,1610612747,20000180,3,44,12,321,4,3,1,11,4,0,4,270,1
270,373,127,61,50,34,9,4,16.59940165,39.02730256,34,1610612747,20000180,3,39,12,321,2,4,2,9,4,0,9,271,0
271,377,28,89,36,29,43.64,40.36,0,36,29,1610612747,20000180,3,15,12,321,2,0,4,9,4,0,9,272,1
272,395,-84,213,30,42,7,4,0,45.7856,90.4,1610612747,20000180,3,39,12,321,3,1,2,7,4,0,4,273,1
273,418,-119,144,24,38,70.64,4,65.608,24,38,1610612747,20000180,3,44,12,321,3,0,2,5,4,0,4,274,1
274,14,0,110,25,31,83.64,1,0,39.02730256,31,1610612747,20000198,3,39,13,322,2,0,4,10,1,0,4,275,0
275,47,0,0,14,33.44888431,112.64,116.36,0,103.7216,20,1610612747,20000198,3,4,13,322,1,0,3,7,1,0,4,276,1
276,52,127,91.1269335,17,35,6,61.36,109.608,57.7856,35,1610612747,20000198,3,39,13,322,2,4,2,6,1,0,9,277,0
277,57,-143,219,44,46,5,1,0,115.7856,46,1610612747,20000198,3,39,13,322,4,1,1,5,1,0,4,278,1
279,155,77,141,18,36,18.20461483,2,0,18,52.4,1610612747,20000198,3,39,13,322,3,3,2,7,2,0,4,280,1
280,161,-6,70,35,27,82.64,95.6,0,35,27,1610612747,20000198,3,44,13,322,1,0,4,6,2,0,4,281,1
282,215,0,91.1269335,8,20,2,2,0,87.7856,55.4,1610612747,20000198,3,4,13,322,1,0,2,2,2,0,4,283,1
